event_id,shift_date,shift,line_id,machine_id,downtime_code,downtime_category,downtime_minutes,start_time,end_time,planned_time_min
1000,2025-07-01,A,L1,M101,STP08,Minor stoppage,11.9,2025-07-01T11:39:00,2025-07-01T11:50:53.688967552,480.0
1001,2025-07-01,A,L1,M101,QLT05,Quality hold,25.8,2025-07-01T06:25:00,2025-07-01T06:50:45.810469580,480.0
1002,2025-07-01,A,L1,M101,BRK03,Breakdown — electrical,7.8,2025-07-01T11:32:00,2025-07-01T11:39:49.595009001,480.0
1003,2025-07-01,B,L1,M101,PM07,Planned maintenance,60.3,2025-07-01T15:37:00,2025-07-01T16:37:17.420503525,480.0
1004,2025-07-01,A,L1,M102,MAT04,Material shortage,21.8,2025-07-01T09:07:00,2025-07-01T09:28:45.129037889,480.0
1005,2025-07-01,A,L1,M102,OPR06,Operator absence,6.0,2025-07-01T10:18:00,2025-07-01T10:23:59.467054154,480.0
1006,2025-07-01,B,L1,M102,OPR06,Operator absence,13.0,2025-07-01T17:28:00,2025-07-01T17:40:59.520340747,480.0
1007,2025-07-01,A,L2,M201,MAT04,Material shortage,35.5,2025-07-01T11:44:00,2025-07-01T12:19:29.948109672,480.0
1008,2025-07-01,A,L2,M201,BRK03,Breakdown — electrical,17.9,2025-07-01T10:06:00,2025-07-01T10:23:52.766395227,480.0
1009,2025-07-01,B,L2,M201,PM07,Planned maintenance,52.2,2025-07-01T17:28:00,2025-07-01T18:20:13.226648117,480.0
1010,2025-07-01,A,L2,M202,PM07,Planned maintenance,35.0,2025-07-01T09:27:00,2025-07-01T10:02:02.846368675,480.0
1011,2025-07-01,B,L2,M202,MAT04,Material shortage,52.8,2025-07-01T14:11:00,2025-07-01T15:03:48.124706176,480.0
1012,2025-07-01,A,L3,M301,PM07,Planned maintenance,78.4,2025-07-01T08:40:00,2025-07-01T09:58:26.991531118,480.0
1013,2025-07-01,B,L3,M301,BRK02,Breakdown — mechanical,31.0,2025-07-01T17:34:00,2025-07-01T18:04:59.566247092,480.0
1014,2025-07-01,B,L3,M301,CHG01,Changeover,44.6,2025-07-01T17:34:00,2025-07-01T18:18:35.897147676,480.0
1015,2025-07-01,B,L3,M301,CHG01,Changeover,7.5,2025-07-01T16:05:00,2025-07-01T16:12:29.656588878,480.0
1016,2025-07-01,A,L3,M302,PM07,Planned maintenance,77.0,2025-07-01T11:13:00,2025-07-01T12:30:02.973426190,480.0
1017,2025-07-01,B,L3,M302,CHG01,Changeover,77.9,2025-07-01T14:37:00,2025-07-01T15:54:53.976180696,480.0
1018,2025-07-01,A,L3,M303,CHG01,Changeover,27.7,2025-07-01T07:24:00,2025-07-01T07:51:42.295278061,480.0
1019,2025-07-01,A,L3,M303,CHG01,Changeover,31.7,2025-07-01T08:08:00,2025-07-01T08:39:43.271574117,480.0
1020,2025-07-01,A,L3,M303,CHG01,Changeover,51.0,2025-07-01T12:29:00,2025-07-01T13:20:02.581022031,480.0
1021,2025-07-01,B,L3,M303,CHG01,Changeover,56.6,2025-07-01T18:24:00,2025-07-01T19:20:37.967490268,480.0
1022,2025-07-01,B,L3,M303,MAT04,Material shortage,38.6,2025-07-01T20:40:00,2025-07-01T21:18:35.211470370,480.0
1023,2025-07-02,A,L1,M101,CHG01,Changeover,25.4,2025-07-02T12:15:00,2025-07-02T12:40:22.023617064,480.0
1024,2025-07-02,B,L1,M101,BRK03,Breakdown — electrical,9.9,2025-07-02T14:48:00,2025-07-02T14:57:51.342419719,480.0
1025,2025-07-02,A,L1,M102,STP08,Minor stoppage,14.4,2025-07-02T08:31:00,2025-07-02T08:45:23.261528154,480.0
1026,2025-07-02,A,L1,M102,BRK03,Breakdown — electrical,8.2,2025-07-02T12:12:00,2025-07-02T12:20:14.412368634,480.0
1027,2025-07-02,B,L1,M102,STP08,Minor stoppage,11.7,2025-07-02T19:44:00,2025-07-02T19:55:43.914255176,480.0
1028,2025-07-02,A,L2,M201,BRK03,Breakdown — electrical,16.6,2025-07-02T11:37:00,2025-07-02T11:53:36.760005858,480.0
1029,2025-07-02,A,L2,M201,MAT04,Material shortage,21.3,2025-07-02T07:47:00,2025-07-02T08:08:15.110601942,480.0
1030,2025-07-02,B,L2,M201,OPR06,Operator absence,12.3,2025-07-02T20:14:00,2025-07-02T20:26:19.293758743,480.0
1031,2025-07-02,B,L2,M201,BRK03,Breakdown — electrical,57.4,2025-07-02T16:48:00,2025-07-02T17:45:23.708408066,480.0
1032,2025-07-02,A,L2,M202,OPR06,Operator absence,10.7,2025-07-02T08:25:00,2025-07-02T08:35:40.818906109,480.0
1033,2025-07-02,B,L2,M202,OPR06,Operator absence,10.9,2025-07-02T17:06:00,2025-07-02T17:16:52.996232055,480.0
