shift_date,shift,line_id,machine_id,planned_time_min,ideal_rate,total_count,product_sku,operator_id,vibration_rms,temp_c,motor_current_a,downtime_minutes
2025-07-01,A,L1,M101,480.0,10.0,4309,SKU-B,OP16,1.488,47.58,11.99,45.5
2025-07-01,B,L1,M101,480.0,10.0,4240,SKU-D,OP34,2.365,46.17,11.41,24.6
2025-07-01,A,L1,M102,480.0,12.0,5256,SKU-C,OP37,2.831,52.08,12.32,47.8
2025-07-01,B,L1,M102,480.0,12.0,5064,SKU-D,OP36,3.01,48.01,13.59,49.8
2025-07-01,A,L2,M201,480.0,10.0,4162,SKU-B,OP17,1.794,51.36,9.81,34.3
2025-07-01,B,L2,M201,480.0,10.0,3828,SKU-A,OP17,1.756,49.24,12.73,55.5
2025-07-01,A,L2,M202,480.0,8.0,3445,SKU-A,OP31,2.409,49.16,13.21,32.1
2025-07-01,B,L2,M202,480.0,12.0,4761,SKU-A,OP20,1.766,45.3,14.58,9.6
2025-07-01,A,L3,M301,480.0,10.0,3663,SKU-D,OP31,4.966,60.33,10.19,77.89999999999999
2025-07-01,B,L3,M301,480.0,8.0,2555,SKU-C,OP13,3.968,60.12,11.02,119.4
2025-07-01,A,L3,M302,480.0,10.0,3369,SKU-D,OP23,4.701,67.8,12.75,29.7
2025-07-01,B,L3,M302,480.0,10.0,3438,SKU-C,OP37,3.971,58.66,11.34,114.80000000000001
2025-07-01,A,L3,M303,480.0,10.0,3192,SKU-A,OP14,7.505,63.72,12.31,61.699999999999996
2025-07-01,B,L3,M303,480.0,12.0,3898,SKU-D,OP14,6.132,69.58,10.73,53.7
2025-07-02,A,L1,M101,480.0,8.0,3643,SKU-C,OP22,2.166,51.12,10.38,5.0
2025-07-02,B,L1,M101,480.0,8.0,3398,SKU-B,OP25,1.913,45.99,12.89,34.1
2025-07-02,A,L1,M102,480.0,8.0,3178,SKU-C,OP22,1.987,48.42,14.43,85.30000000000001
2025-07-02,B,L1,M102,480.0,10.0,4022,SKU-A,OP29,1.17,40.4,15.91,30.5
2025-07-02,A,L2,M201,480.0,8.0,3034,SKU-B,OP19,2.228,50.5,13.2,33.3
2025-07-02,B,L2,M201,480.0,10.0,3878,SKU-C,OP39,2.4,43.75,13.01,48.5
2025-07-02,A,L2,M202,480.0,8.0,3356,SKU-B,OP12,2.584,49.16,9.71,26.2
2025-07-02,B,L2,M202,480.0,12.0,4916,SKU-D,OP35,0.603,45.93,12.78,36.7
2025-07-02,A,L3,M301,480.0,8.0,2948,SKU-B,OP21,4.063,61.49,14.58,67.4
2025-07-02,B,L3,M301,480.0,10.0,3429,SKU-A,OP18,5.493,57.7,13.75,106.1
2025-07-02,A,L3,M302,480.0,10.0,3850,SKU-C,OP37,4.823,57.53,11.43,26.3
2025-07-02,B,L3,M302,480.0,12.0,4228,SKU-D,OP14,5.214,55.88,14.86,96.0
2025-07-02,A,L3,M303,480.0,10.0,3066,SKU-B,OP15,5.824,63.91,13.85,43.3
2025-07-02,B,L3,M303,480.0,10.0,3545,SKU-B,OP10,6.767,64.24,10.24,79.4
2025-07-03,A,L1,M101,480.0,10.0,4372,SKU-A,OP17,2.274,47.89,13.81,42.5
2025-07-03,B,L1,M101,480.0,12.0,5543,SKU-C,OP34,2.201,47.89,14.24,13.3
2025-07-03,A,L1,M102,480.0,12.0,5208,SKU-D,OP32,1.778,45.39,13.79,41.7
