shift_date,shift,line_id,machine_id,good_count,reject_count,scrap_rate,defect_code,defect_type,measurement_mm,lsl,usl
2025-07-01,A,L1,M101,4098,211,0.0491,DIM,Dimension out of spec,10.0182,9.5,10.5
2025-07-01,B,L1,M101,4153,87,0.0206,DIM,Dimension out of spec,10.003,9.5,10.5
2025-07-01,A,L1,M102,5113,143,0.0273,SCRATCH,Surface scratch,9.9276,9.5,10.5
2025-07-01,B,L1,M102,4878,186,0.0368,SCRATCH,Surface scratch,10.0274,9.5,10.5
2025-07-01,A,L2,M201,3951,211,0.0509,DIM,Dimension out of spec,10.1063,9.5,10.5
2025-07-01,B,L2,M201,3691,137,0.0359,SCRATCH,Surface scratch,10.086,9.5,10.5
2025-07-01,A,L2,M202,3231,214,0.0623,DIM,Dimension out of spec,10.3264,9.5,10.5
2025-07-01,B,L2,M202,4571,190,0.04,OTHER,Other,10.1016,9.5,10.5
2025-07-01,A,L3,M301,3630,33,0.0091,SCRATCH,Surface scratch,10.0279,9.5,10.5
2025-07-01,B,L3,M301,2452,103,0.0404,OTHER,Other,9.8686,9.5,10.5
2025-07-01,A,L3,M302,3273,96,0.0288,CONTAM,Contamination,9.9061,9.5,10.5
2025-07-01,B,L3,M302,3267,171,0.0497,CONTAM,Contamination,9.9296,9.5,10.5
2025-07-01,A,L3,M303,3142,50,0.0158,OTHER,Other,10.0514,9.5,10.5
2025-07-01,B,L3,M303,3661,237,0.0609,SCRATCH,Surface scratch,10.0908,9.5,10.5
2025-07-02,A,L1,M101,3583,60,0.0167,DIM,Dimension out of spec,10.0234,9.5,10.5
2025-07-02,B,L1,M101,3211,187,0.0551,SCRATCH,Surface scratch,10.0394,9.5,10.5
2025-07-02,A,L1,M102,3081,97,0.0307,SCRATCH,Surface scratch,9.9398,9.5,10.5
2025-07-02,B,L1,M102,3814,208,0.0519,SCRATCH,Surface scratch,9.8994,9.5,10.5
2025-07-02,A,L2,M201,2789,245,0.0809,DIM,Dimension out of spec,10.1506,9.5,10.5
2025-07-02,B,L2,M201,3645,233,0.0603,CONTAM,Contamination,10.1586,9.5,10.5
2025-07-02,A,L2,M202,3228,128,0.0383,OTHER,Other,10.384,9.5,10.5
2025-07-02,B,L2,M202,4635,281,0.0573,DIM,Dimension out of spec,10.0982,9.5,10.5
2025-07-02,A,L3,M301,2860,88,0.0301,CONTAM,Contamination,10.2106,9.5,10.5
2025-07-02,B,L3,M301,3306,123,0.036,CONTAM,Contamination,10.0277,9.5,10.5
2025-07-02,A,L3,M302,3756,94,0.0245,OTHER,Other,10.0543,9.5,10.5
2025-07-02,B,L3,M302,4207,21,0.005,OTHER,Other,10.0605,9.5,10.5
2025-07-02,A,L3,M303,2891,175,0.0572,CONTAM,Contamination,10.0213,9.5,10.5
2025-07-02,B,L3,M303,3464,81,0.0231,SCRATCH,Surface scratch,9.7659,9.5,10.5
2025-07-03,A,L1,M101,4185,187,0.043,DIM,Dimension out of spec,9.9767,9.5,10.5
2025-07-03,B,L1,M101,5406,137,0.0248,OTHER,Other,10.0124,9.5,10.5
2025-07-03,A,L1,M102,5073,135,0.0261,CONTAM,Contamination,9.868,9.5,10.5
2025-07-03,B,L1,M102,3558,68,0.019,SCRATCH,Surface scratch,10.0598,9.5,10.5
2025-07-03,A,L2,M201,3187,206,0.0608,CONTAM,Contamination,10.1953,9.5,10.5
2025-07-03,B,L2,M201,3836,93,0.0239,DIM,Dimension out of spec,9.9683,9.5,10.5
2025-07-03,A,L2,M202,3664,192,0.0499,OTHER,Other,10.4953,9.5,10.5
2025-07-03,B,L2,M202,4075,266,0.0615,DIM,Dimension out of spec,10.2799,9.5,10.5
2025-07-03,A,L3,M301,4566,58,0.0126,CONTAM,Contamination,9.9602,9.5,10.5
